,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
3131,0.0059,-0.0184,-0.013500000000000002,-0.0197,-0.0084,-0.0084,-0.0151,-0.005699999999999999,-0.002,-0.006500000000000001
3132,0.009000000000000001,0.0031,0.008,0.022000000000000002,0.0059,0.015700000000000002,0.0125,0.0146,0.0075,0.0121
3133,0.008199999999999999,0.0124,0.0073,0.0252,0.0144,0.0096,0.0102,0.011899999999999999,0.0034999999999999996,0.0101
3134,0.0016,0.0067,0.0016,-0.0159,0.0042,0.0033,-0.0002,0.0007000000000000001,0.0029,-0.0008
3135,0.0104,0.0194,0.022000000000000002,0.0265,0.0146,0.0104,0.016,0.008,0.0043,0.013500000000000002
3136,-0.0012,-0.005,-0.0004,-0.0052,-0.0004,0.0017000000000000001,0.0001,0.0017000000000000001,-0.0074,-0.0009
3137,-0.0159,-0.0271,-0.0263,-0.052000000000000005,-0.024700000000000003,-0.0175,-0.020099999999999996,-0.009300000000000001,-0.0128,-0.018799999999999997
3138,0.0091,0.0111,0.0075,0.0161,0.0127,0.0105,0.0091,0.015,0.006500000000000001,0.0096
3139,-0.008199999999999999,-0.014499999999999999,-0.0155,-0.0318,-0.0152,-0.011399999999999999,-0.0102,-0.0069,-0.0051,-0.0129
3140,0.0014000000000000002,-0.0077,0.0007000000000000001,0.0054,-0.0006,0.0051,0.0053,0.0042,0.0034999999999999996,0.0046
3141,0.0073,0.0049,0.0116,0.0333,0.0111,0.0125,0.0025,0.0132,0.0126,0.0123
3142,-0.0036,0.0074,-0.0023,0.009300000000000001,-0.006,-0.004,-0.0003,-0.0069,0.0031,-0.0018
3143,0.024900000000000002,0.0365,0.0318,0.038900000000000004,0.031,0.0227,0.026699999999999998,0.0178,0.0077,0.022400000000000003
3144,0.0105,0.0022,0.0051,0.0034000000000000002,0.0031,0.0213,0.0096,0.014499999999999999,0.0091,0.0079
3145,0.0095,0.016399999999999998,0.0168,0.0356,0.011399999999999999,0.008199999999999999,0.0101,0.008,0.0044,0.0106
3146,0.0038,0.0040999999999999995,0.0021,-0.01,0.0002,0.0011,0.004699999999999999,0.003,-0.005,-0.0023
3147,-0.0063,-0.014199999999999999,-0.0087,-0.017,-0.0173,-0.0070999999999999995,-0.0074,0.0002,-0.0034000000000000002,-0.0070999999999999995
3148,-0.005600000000000001,-0.0074,-0.0064,-0.012199999999999999,-0.0060999999999999995,-0.0034999999999999996,-0.0016,0.0086,-0.0016,-0.0028000000000000004
3149,-0.0069,-0.0152,-0.013500000000000002,-0.0302,-0.0126,-0.0018,-0.0033,-0.0128,0.0014000000000000002,-0.006
3150,-0.005600000000000001,-0.0038,-0.0033,0.0092,-0.0034999999999999996,-0.0032,-0.005699999999999999,-0.002,0.006500000000000001,0.0017000000000000001
3151,-0.0039000000000000003,-0.0064,-0.0026,-0.0104,-0.0067,-0.0074,-0.0040999999999999995,0.003,0.0008,-0.0038
3152,0.011200000000000002,0.0174,0.0141,0.0187,0.0085,0.009399999999999999,0.012,0.010700000000000001,0.0137,0.0143
3153,-0.011000000000000001,-0.0070999999999999995,-0.0074,-0.0024,-0.0074,-0.0074,-0.008,0.0038,-0.0038,-0.0062
3154,-0.0002,0.0007000000000000001,0.0048,0.0116,-0.0021,0.0022,0.0015,0.0040999999999999995,0.0029,0.0039000000000000003
3155,0.0037,0.0101,0.0066,0.0048,0.0125,0.0069,0.0052,0.0045000000000000005,0.0032,0.0008
3156,0.0032,0.0023,0.0034999999999999996,0.0031,0.0049,-0.006999999999999999,-0.0014000000000000002,-0.005600000000000001,-0.0006,-0.0070999999999999995
3157,-0.009300000000000001,-0.0118,-0.0121,-0.0028000000000000004,-0.011699999999999999,-0.0128,-0.0143,-0.0096,0.0018,-0.011000000000000001
3158,-0.011000000000000001,-0.0118,-0.015600000000000001,-0.0216,-0.0159,-0.0125,-0.0146,-0.0134,-0.0053,-0.0106
3159,-0.0098,-0.0197,-0.0148,-0.025099999999999997,-0.0137,-0.0124,-0.0102,-0.009000000000000001,-0.0092,-0.0103
3160,-0.0023,0.0048,0.0004,-0.0063,0.009300000000000001,-0.0024,-0.0009,0.0075,-0.0024,0.0013
3161,0.0129,0.0072,0.009399999999999999,0.016399999999999998,0.0063,0.0179,0.0089,0.0064,0.0105,0.005600000000000001
3162,0.0189,0.0274,0.0241,0.0269,0.0241,0.0291,0.019299999999999998,0.0159,0.013000000000000001,0.0165
3163,-0.0008,-0.0034000000000000002,-0.0066,0.0026,-0.0086,-0.0022,-0.001,-0.0106,0.004,-0.0043
3164,-0.0054,-0.0017000000000000001,-0.0022,-0.0102,-0.0001,-0.0008,-0.0040999999999999995,-0.011399999999999999,-0.009399999999999999,-0.0028000000000000004
3165,-0.013600000000000001,-0.0129,-0.0144,-0.0115,-0.016,-0.0055000000000000005,-0.0166,-0.0169,-0.0023,-0.0149
3166,-0.0021,-0.0127,-0.0013,-0.0191,-0.0019,-0.004699999999999999,-0.0063,-0.0076,-0.0062,-0.0031
3167,0.02,0.0277,0.0235,0.031,0.0208,0.020099999999999996,0.0206,0.012199999999999999,0.015300000000000001,0.0219
3168,0.006500000000000001,0.0158,0.0063,0.0141,0.0116,0.0072,0.0054,0.0075,0.0014000000000000002,0.0042
3169,0.0063,0.011899999999999999,0.0111,0.021099999999999997,0.0091,0.0027,0.010700000000000001,0.0034000000000000002,-0.0038,0.0063
3170,0.0017000000000000001,0.0034000000000000002,-0.0011,-0.006,-0.0038,0.0079,0.0007000000000000001,-0.0091,-0.0017000000000000001,0.0006
3171,0.0006,0.0007000000000000001,0.0067,0.0111,0.0096,-0.0008,0.0023,0.0026,0.0015,0.0017000000000000001
3172,-0.0026,-0.0043,-0.0019,-0.0083,0.0005,0.0058,-0.0024,-0.0004,0.0008,-0.0031
3173,0.0007000000000000001,0.0036,-0.0011,-0.0091,-0.0027,-0.0058,-0.0028000000000000004,0.0011,-0.0039000000000000003,-0.0007000000000000001
3174,-0.0023,-0.0058,-0.004699999999999999,-0.004699999999999999,-0.0128,-0.0026,-0.0017000000000000001,-0.0005,0.001,-0.003
3175,0.013500000000000002,0.0036,0.0033,0.0042,0.0101,0.0078000000000000005,0.0042,0.0068000000000000005,0.0001,0.0075
3176,0.0079,0.013999999999999999,0.0151,0.0154,0.011399999999999999,-0.0014000000000000002,0.0095,0.0067,0.0017000000000000001,0.0092
3177,0.0075,0.0128,0.0069,0.0034999999999999996,0.0084,0.0044,0.0076,0.0063,0.0011,0.0073
3178,-0.004,-0.0092,-0.0034000000000000002,-0.005600000000000001,-0.0017000000000000001,-0.0042,-0.0051,-0.0015,-0.0003,-0.002
3179,0.0023,-0.0042,-0.0007000000000000001,-0.0003,-0.0024,-0.0053,-0.0007000000000000001,-0.0019,-0.004699999999999999,-0.0006
3180,-0.0022,-0.009300000000000001,-0.0036,0.0008,-0.0038,-0.0087,-0.0026,-0.0023,-0.0036,-0.0021
3181,-0.0060999999999999995,-0.0144,-0.0096,-0.013500000000000002,-0.0037,-0.0006,-0.0075,-0.0012,-0.0109,-0.0068000000000000005
3182,0.0064,0.0049,0.0018,0.0040999999999999995,0.0033,0.0054,0.0027,0.0078000000000000005,0.0052,0.005
3183,0.0028000000000000004,-0.0003,-0.0032,-0.0025,0.0009,-0.0029,0.0019,0.0019,0.002,-0.0002
3184,0.0044,0.0011,0.0019,0.0054,0.0048,-0.0002,0.005,0.0058,-0.0005,0.0031
3185,0.0048,-0.0015,0.0039000000000000003,-0.0072,0.0038,0.0062,0.0066,0.0039000000000000003,0.0007000000000000001,0.0039000000000000003
3186,-0.0075,-0.0111,-0.009399999999999999,-0.015300000000000001,-0.0121,-0.0101,-0.0068000000000000005,-0.006,-0.0067,-0.0089
3187,0.0054,0.0052,0.0063,0.0074,0.0063,0.0063,0.0027,0.0042,-0.0013,0.0039000000000000003
3188,0.0074,0.0108,0.002,-0.0026,0.0034000000000000002,0.0015,0.0049,0.0121,0.0086,0.005
3189,-0.0002,-0.004699999999999999,-0.002,0.0023,-0.0017000000000000001,0.0044,0.0,-0.0004,-0.0034999999999999996,0.0003
3190,0.0146,0.0239,0.017,0.0203,0.0169,0.0207,0.0174,0.0127,0.0137,0.0143
3191,0.0044,0.0103,0.0126,0.0218,0.0001,0.0029,0.0068000000000000005,0.003,-0.0026,0.005699999999999999
3192,0.0003,-0.0048,-0.0011,-0.0003,-0.0017000000000000001,-0.004699999999999999,0.0,-0.0028000000000000004,-0.0009,-0.0040999999999999995
3193,-0.0005,0.0048,0.005600000000000001,0.019299999999999998,0.0025,0.006500000000000001,0.0006,0.0023,-0.0001,0.0058
3194,0.0025,0.0042,0.0019,0.0039000000000000003,0.0101,0.0032,0.0064,0.004699999999999999,-0.0031,0.0049
3195,0.0116,0.0321,0.0155,0.0241,0.008,0.0134,0.009300000000000001,0.0105,0.0128,0.0115
3196,0.0033,0.0225,0.0139,0.0271,0.0097,0.005600000000000001,0.0059,0.0033,-0.003,0.0077
3197,-0.0011,-0.0115,-0.0084,-0.008100000000000001,-0.0032,-0.0017000000000000001,-0.0063,0.0052,-0.0052,-0.0053
3198,-0.0045000000000000005,-0.0036,-0.005,-0.01,0.0017000000000000001,0.0038,-0.0049,0.013600000000000001,-0.001,-0.0007000000000000001
3199,0.001,0.0019,0.0023,-0.0073,-0.0008,0.005,0.0039000000000000003,0.0063,0.0003,0.0001
3200,-0.0033,-0.0091,-0.0051,-0.0011,-0.0045000000000000005,0.0005,-0.0039000000000000003,0.0034000000000000002,0.0022,-0.004699999999999999
3201,-0.003,0.0045000000000000005,0.0054,0.0040999999999999995,0.0068000000000000005,0.011899999999999999,0.0033,0.0096,0.0046,0.0074
3202,-0.0014000000000000002,-0.0029,-0.0048,-0.012199999999999999,-0.006500000000000001,-0.0002,-0.0023,-0.0069,0.0088,-0.0016
3203,-0.011399999999999999,-0.020099999999999996,-0.0173,-0.0195,-0.0168,-0.0088,-0.0124,-0.0052,-0.0040999999999999995,-0.0105
3204,-0.0024,-0.0013,-0.0069,-0.0128,-0.006999999999999999,-0.0040999999999999995,-0.0040999999999999995,-0.0108,0.0017000000000000001,-0.0012
3205,0.0085,0.0084,0.0085,0.020499999999999997,0.0138,0.012199999999999999,0.0078000000000000005,0.0097,-0.0022,0.0078000000000000005
3206,-0.0051,-0.0015,-0.0044,-0.0055000000000000005,-0.0045000000000000005,-0.0044,-0.0044,-0.0051,0.0008,-0.0039000000000000003
3207,-0.0005,0.002,0.0058,0.0029,-0.0027,0.0034999999999999996,0.0039000000000000003,0.0036,-0.0019,0.0042
3208,0.0039000000000000003,0.0007000000000000001,-0.0002,-0.0009,0.0001,0.003,-0.0039000000000000003,-0.0009,0.0018,0.0014000000000000002
3209,0.0,0.0016,-0.0037,-0.0199,0.0015,0.0040999999999999995,-0.0009,0.0098,0.0036,0.0011
3210,0.006500000000000001,0.008100000000000001,0.0079,0.0116,0.0046,0.0113,0.0073,0.0069,0.0069,0.008100000000000001
3211,-0.0023,0.0006,-0.0005,-0.0077,-0.0032,-0.0003,-0.0013,-0.0024,-0.0005,-0.0008
3212,-0.0025,-0.0034000000000000002,-0.0046,-0.0060999999999999995,-0.0052,-0.0054,-0.0015,-0.0064,-0.0011,-0.0034000000000000002
3213,-0.009000000000000001,-0.0189,-0.0098,0.0070999999999999995,-0.017,-0.015,-0.010700000000000001,-0.0177,-0.0024,-0.0098
3214,-0.0018,-0.011699999999999999,-0.0052,-0.013600000000000001,-0.0069,-0.0002,-0.0034000000000000002,-0.0034000000000000002,-0.0014000000000000002,0.0007000000000000001
3215,0.0038,0.0022,0.0051,0.013999999999999999,0.0038,0.0108,0.0028000000000000004,0.005600000000000001,0.0017000000000000001,0.0037
3216,-0.0015,-0.0043,-0.0073,-0.0054,-0.005600000000000001,-0.0019,-0.0054,-0.0055000000000000005,-0.0067,-0.0066
3217,0.0066,0.0019,0.008,0.0016,0.0040999999999999995,0.0037,0.0060999999999999995,0.0074,0.0059,0.0054
